market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:09:28,2022-05-20,2022-05-20 10:09:28.967,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21570,29114,3422.5,3421.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:28
2022-05-20 10:09:32,2022-05-20,2022-05-20 10:09:32.521,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21571,29115,3423.0,3421.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:09:32
2022-05-20 10:09:33,2022-05-20,2022-05-20 10:09:33.215,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21572,29114,3423.0,3421.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:09:33
2022-05-20 10:09:34,2022-05-20,2022-05-20 10:09:34.692,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3423.0,21573,29114,3423.0,3421.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:09:34
2022-05-20 10:09:37,2022-05-20,2022-05-20 10:09:37.543,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3423.0,21573,29114,3423.0,3421.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:37
2022-05-20 10:09:41,2022-05-20,2022-05-20 10:09:41.539,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3423.0,21573,29114,3422.5,3421.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:41
2022-05-20 10:09:42,2022-05-20,2022-05-20 10:09:42.507,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3423.0,21574,29113,3423.0,3422.0,6,1,3834.0,2834.0,1.0,2022-05-19 21:09:42
2022-05-20 10:09:43,2022-05-20,2022-05-20 10:09:43.459,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21575,29114,3422.5,3421.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:43
2022-05-20 10:09:44,2022-05-20,2022-05-20 10:09:44.515,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21576,29114,3422.5,3421.0,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:44
2022-05-20 10:09:45,2022-05-20,2022-05-20 10:09:45.133,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21576,29114,3422.0,3421.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:09:45
2022-05-20 10:09:47,2022-05-20,2022-05-20 10:09:47.545,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.0,21577,29114,3422.5,3420.5,4,3,3834.0,2834.0,1.0,2022-05-19 21:09:47
2022-05-20 10:09:49,2022-05-20,2022-05-20 10:09:49.275,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.0,21577,29114,3422.0,3420.5,2,3,3834.0,2834.0,1.0,2022-05-19 21:09:49
2022-05-20 10:09:51,2022-05-20,2022-05-20 10:09:51.942,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.0,21577,29114,3422.5,3422.0,4,3,3834.0,2834.0,1.0,2022-05-19 21:09:51
2022-05-20 10:09:52,2022-05-20,2022-05-20 10:09:52.960,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21579,29113,3422.5,3422.0,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:52
2022-05-20 10:09:53,2022-05-20,2022-05-20 10:09:53.488,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21582,29114,3422.5,3421.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:53
2022-05-20 10:09:56,2022-05-20,2022-05-20 10:09:56.461,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21583,29115,3423.0,3422.0,3,1,3834.0,2834.0,1.0,2022-05-19 21:09:56
2022-05-20 10:09:57,2022-05-20,2022-05-20 10:09:57.232,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21585,29115,3423.0,3422.5,3,1,3834.0,2834.0,1.0,2022-05-19 21:09:57
2022-05-20 10:10:01,2022-05-20,2022-05-20 10:10:01.987,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21591,29115,3420.5,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:01
2022-05-20 10:10:02,2022-05-20,2022-05-20 10:10:02.575,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3420.0,3418.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:02
2022-05-20 10:10:03,2022-05-20,2022-05-20 10:10:03.998,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3421.5,3418.5,4,2,3834.0,2834.0,1.0,2022-05-19 21:10:03
2022-05-20 10:10:04,2022-05-20,2022-05-20 10:10:04.758,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3421.0,3419.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:04
2022-05-20 10:10:05,2022-05-20,2022-05-20 10:10:05.971,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3420.5,3419.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:10:05
2022-05-20 10:10:07,2022-05-20,2022-05-20 10:10:07.655,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3420.5,3418.5,1,2,3834.0,2834.0,1.0,2022-05-19 21:10:07
2022-05-20 10:10:08,2022-05-20,2022-05-20 10:10:08.646,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3420.5,3419.5,2,1,3834.0,2834.0,1.0,2022-05-19 21:10:08
2022-05-20 10:10:09,2022-05-20,2022-05-20 10:10:09.143,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21592,29116,3420.5,3420.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:10:09
2022-05-20 10:10:11,2022-05-20,2022-05-20 10:10:11.153,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21593,29115,3420.5,3419.0,2,2,3834.0,2834.0,1.0,2022-05-19 21:10:11
